Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
14.01,13.15,595,5,352,27.9,1.3,70.7,32330536,97012272,1827492,33080396,0,288000,1144,0,5270,2854,linpack
14.01,13.15,595,5,352,27.1,2.1,70.7,32330552,97012048,1827700,33080676,0,0,900,0,5218,2758,linpack
14.01,13.15,595,5,352,28.2,1.1,70.8,32330552,97012048,1827700,33080676,0,0,600,0,4165,2481,linpack
14.01,13.15,595,5,352,28.6,0.6,70.7,32330560,97011944,1827792,33080796,0,0,1468,0,5289,2873,linpack
14.01,13.15,595,5,352,25.2,4.1,70.8,32330560,97011944,1827792,33080796,0,0,1148,0,5371,2953,linpack
14.01,13.17,595,5,352,27.3,1.9,70.7,32330560,97011944,1827792,33080796,0,356000,848,0,5293,2887,linpack
14.01,13.17,595,5,352,28,1.3,70.7,32330436,97011920,1827944,33080784,0,0,696,0,5336,2998,linpack
14.01,13.17,595,5,352,28.2,1,70.8,32330436,97011920,1827944,33080784,0,0,784,0,5242,2816,linpack
14.01,13.17,595,5,352,22.8,6.5,70.7,32330436,97011920,1827944,33080784,0,0,780,0,5244,2835,linpack
14.01,13.17,595,5,352,25.9,3.3,70.7,32330324,97011872,1828096,33080840,0,0,939,0,5300,2875,linpack
14.01,13.18,595,5,352,20.4,4.8,74.8,32330324,97011872,1828096,33080840,0,316000,1036,0,5332,3006,linpack
14.01,13.18,595,5,352,21.2,1.4,77.4,32330324,97011872,1828096,33080840,0,0,904,0,5284,2873,linpack
14.01,13.18,595,5,352,28.4,0.9,70.7,32330884,97011168,1828244,33081568,0,0,1504,0,5335,2927,linpack
14.01,13.18,595,5,352,28.3,0.9,70.8,32330884,97011168,1828244,33081568,0,0,1448,0,5271,2834,linpack
14.01,13.18,595,5,352,27.3,1.9,70.7,32330884,97011168,1828244,33081568,0,0,1208,0,5307,2956,linpack
14.01,13.19,595,5,352,22.7,6.6,70.7,32330624,97011256,1828416,33081468,0,316000,904,0,5262,2840,linpack
14.01,13.19,595,5,352,28.5,0.8,70.7,32330624,97011256,1828416,33081468,0,0,720,0,3969,2232,linpack
14.01,13.19,595,6,351,28.2,1,70.7,32330624,97011256,1828416,33081468,0,0,988,0,4818,2616,linpack
14.01,13.19,595,5,352,27.8,1.5,70.7,32330520,97011168,1828608,33081588,0,0,780,0,5340,3005,linpack
14.01,13.19,595,5,352,23.5,5.7,70.7,32330520,97011168,1828608,33081588,0,0,780,0,5258,2838,linpack
14.01,13.21,595,5,352,28.3,0.9,70.8,32330520,97011168,1828608,33081588,0,296000,1342,0,5274,2874,linpack
14.01,13.21,595,5,352,28.5,0.7,70.7,32330384,97011136,1828776,33081628,0,0,900,0,5291,2849,linpack
14.01,13.21,595,5,352,27.2,2,70.8,32330384,97011136,1828776,33081628,0,0,1162,0,5376,3064,linpack
14.01,13.21,595,5,352,25,4.2,70.7,32330384,97011136,1828776,33081628,0,0,1525,0,5235,2800,linpack
14.01,13.21,595,5,352,20.5,3.8,75.7,32331020,97010368,1828908,33082376,0,0,1402,0,5293,2901,linpack
13.2,13.06,595,5,352,21,1.4,77.5,32331020,97010368,1828908,33082376,0,332000,1200,0,5313,2888,linpack
13.2,13.06,595,5,352,28.5,0.8,70.7,32331020,97010368,1828908,33082376,0,44000,862,0,5316,2967,linpack
13.2,13.06,595,5,352,28.4,0.8,70.8,32330896,97010336,1829060,33082424,0,0,986,0,5236,2803,linpack
13.2,13.06,595,5,352,27.8,1.5,70.7,32330896,97010336,1829060,33082424,0,0,1144,0,5244,2814,linpack
13.2,13.06,595,5,352,24.3,4.9,70.8,32330896,97010336,1829060,33082424,0,0,1123,0,5283,2827,linpack
13.27,13.07,595,5,352,28.5,0.8,70.7,32330648,97010424,1829224,33082344,0,0,1084,0,5194,2969,linpack
13.27,13.07,595,5,352,28.3,1,70.7,32330648,97010424,1829224,33082344,0,360000,1383,0,3561,2031,linpack
13.27,13.07,595,5,352,26.4,2.8,70.7,32330648,97010424,1829224,33082344,0,0,780,0,5281,2865,linpack
13.27,13.07,595,5,352,23.4,5.8,70.7,32330640,97010272,1829388,33082504,0,0,840,0,5225,2807,linpack
13.27,13.07,595,5,352,28.4,0.9,70.7,32330640,97010272,1829388,33082504,0,0,1140,0,5425,3114,linpack
13.41,13.1,595,5,352,28.3,0.9,70.8,32330640,97010272,1829388,33082504,0,0,1199,0,5262,2848,linpack
