,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
7279,10.2,10.28,392,1,249,0.1,0.0,70.1,128806595,1225908,1142728,128904025,8352000,0,741,0,1343,2095,fio
7280,10.2,10.28,392,1,249,0.1,0.1,70.4,128806595,1225908,1142728,128904025,8480000,0,802,0,1344,2064,fio
7281,10.2,10.28,392,1,249,0.1,0.0,70.7,128806545,1225804,1142880,128904055,8128000,172000,562,0,1304,2021,fio
7282,10.2,10.28,392,1,249,0.1,0.1,70.7,128806545,1225804,1142880,128904055,8128000,0,420,0,1300,2001,fio
7283,10.18,10.28,392,1,249,0.2,0.0,70.7,128806545,1225804,1142880,128904055,8032000,28000,480,0,1342,2079,fio
7284,10.18,10.28,392,1,249,0.1,0.1,65.5,128806445,1225808,1142984,128904065,8208000,4096,900,0,1357,2064,fio
7285,10.18,10.28,392,1,249,0.1,0.0,62.4,128806445,1225808,1142984,128904065,8064000,0,720,0,1328,2037,fio
7286,10.18,10.28,392,1,249,0.1,0.1,64.7,128806445,1225808,1142984,128904065,8480000,176000,660,0,1376,2089,fio
7287,10.18,10.28,392,1,249,0.1,0.0,62.4,128806195,1225940,1143096,128903945,8208000,0,600,0,1408,2172,fio
7288,10.16,10.27,392,1,249,0.1,0.1,62.3,128806195,1225940,1143096,128903945,7856000,28000,660,0,1321,2002,fio
7289,10.16,10.27,392,1,249,0.2,0.1,62.3,128806195,1225940,1143096,128903945,8304000,0,1059,0,1360,2083,fio
7290,10.16,10.27,392,3,247,0.1,0.1,65.6,128806125,1225948,1143160,128903945,7952000,0,843,0,1307,1994,fio
7291,10.16,10.27,392,1,249,0.0,0.1,68.6,128806125,1225948,1143160,128903945,8304000,172000,720,0,1370,2116,fio
7292,10.15,10.27,392,1,249,0.0,0.2,70.7,128806125,1225948,1143160,128903945,8064000,0,600,0,1402,2115,fio
7293,10.15,10.27,392,1,249,0.1,0.1,70.6,128806005,1225928,1143300,128903995,8176000,32000,540,0,1350,2049,fio
7294,10.15,10.27,392,2,249,0.1,0.0,70.8,128806005,1225928,1143300,128903995,8288000,0,484,0,1314,2015,fio
7295,10.15,10.27,392,1,249,0.1,0.1,66.6,128806005,1225928,1143300,128903995,8144000,0,424,0,1369,2127,fio
7296,10.15,10.27,392,1,249,0.1,0.0,66.6,128805795,1226036,1143408,128903935,7968000,0,184,0,1261,1956,fio
7297,10.14,10.26,392,1,249,0.0,0.0,64.6,128805795,1226036,1143408,128903935,8048000,208000,604,0,1343,2028,fio
7298,10.14,10.26,392,1,249,0.0,0.1,62.5,128805795,1226036,1143408,128903935,8000000,32000,604,0,1293,1988,fio
